timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701436616516,578,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-81,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,578,0,167
1701436617095,790,IndexRequest,200,OK,BugresistanceUsers 1-115,text,true,,2154,262,120,120,https://bugresistance.com/index.html,562,0,494
1701436617096,805,IndexRequest-1,200,OK,BugresistanceUsers 1-81,text,true,,1816,129,120,120,https://bugresistance.com/index.html,805,0,740
1701436617095,562,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-115,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,562,0,494
1701436617657,228,IndexRequest-1,200,OK,BugresistanceUsers 1-115,text,true,,1816,129,120,120,https://bugresistance.com/index.html,228,0,158
1701436616959,926,IndexRequest,200,OK,BugresistanceUsers 1-107,text,true,,2154,262,120,120,https://bugresistance.com/index.html,698,0,630
1701436616975,907,IndexRequest,200,OK,BugresistanceUsers 1-108,text,true,,2154,262,120,120,https://bugresistance.com/index.html,684,0,614
1701436616959,698,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-107,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,698,0,630
1701436616975,684,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-108,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,684,0,614
1701436615449,2422,IndexRequest,200,OK,BugresistanceUsers 1-18,text,true,,2154,262,120,120,https://bugresistance.com/index.html,923,0,594
1701436617659,223,IndexRequest-1,200,OK,BugresistanceUsers 1-108,text,true,,1816,129,120,120,https://bugresistance.com/index.html,223,0,156
1701436615449,923,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-18,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,923,0,594
1701436616062,1808,IndexRequest,200,OK,BugresistanceUsers 1-54,text,true,,2154,262,120,120,https://bugresistance.com/index.html,220,0,151
1701436616160,1709,IndexRequest,200,OK,BugresistanceUsers 1-60,text,true,,2154,262,120,120,https://bugresistance.com/index.html,252,0,177
1701436616062,220,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-54,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,220,0,151
1701436616160,252,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-60,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,252,0,177
1701436616062,1807,IndexRequest,200,OK,BugresistanceUsers 1-53,text,true,,2154,262,120,120,https://bugresistance.com/index.html,220,0,152
1701436616413,1456,IndexRequest-1,200,OK,BugresistanceUsers 1-60,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1449,0,163
1701436616177,1684,IndexRequest,200,OK,BugresistanceUsers 1-61,text,true,,2154,262,120,120,https://bugresistance.com/index.html,236,0,161
1701436616045,1816,IndexRequest,200,OK,BugresistanceUsers 1-51,text,true,,2154,262,120,120,https://bugresistance.com/index.html,223,0,163
1701436616177,236,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-61,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,236,0,161
1701436616045,228,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-51,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,223,0,163
1701436616075,1782,IndexRequest,200,OK,BugresistanceUsers 1-55,text,true,,2154,262,120,120,https://bugresistance.com/index.html,207,0,142
1701436616275,1586,IndexRequest-1,200,OK,BugresistanceUsers 1-51,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1586,0,901
1701436616075,207,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-55,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,207,0,142
1701436617131,726,IndexRequest,200,OK,BugresistanceUsers 1-117,text,true,,2154,262,120,120,https://bugresistance.com/index.html,522,0,149
1701436617131,522,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-117,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,522,0,149
1701436616755,1100,IndexRequest,200,OK,BugresistanceUsers 1-95,text,true,,2154,262,120,120,https://bugresistance.com/index.html,857,0,169
1701436617654,203,IndexRequest-1,200,OK,BugresistanceUsers 1-117,text,true,,1816,129,120,120,https://bugresistance.com/index.html,203,0,141
1701436615869,1899,IndexRequest,200,OK,BugresistanceUsers 1-43,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1036,0,935
1701436616619,1071,IndexRequest,200,OK,BugresistanceUsers 1-87,text,true,,2154,262,120,120,https://bugresistance.com/index.html,243,0,173
1701436615869,1036,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-43,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1036,0,935
1701436616619,243,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-87,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,243,0,173
1701436616905,863,IndexRequest-1,200,OK,BugresistanceUsers 1-43,text,true,,1816,129,120,120,https://bugresistance.com/index.html,862,0,693
1701436616417,1273,IndexRequest,200,OK,BugresistanceUsers 1-75,text,true,,2154,262,120,120,https://bugresistance.com/index.html,686,0,178
1701436616863,827,IndexRequest-1,200,OK,BugresistanceUsers 1-87,text,true,,1816,129,120,120,https://bugresistance.com/index.html,827,0,758
1701436616417,686,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-75,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,686,0,178
